,Amplitude
0,-1.082577514E+002
1,-1.122423095E+002
2,-1.042597198E+002
3,-1.071126480E+002
4,-1.060419693E+002
5,-1.065610580E+002
6,-1.127391204E+002
7,-1.047033081E+002
8,-1.085617828E+002
9,-1.123320159E+002
10,-1.062305526E+002
11,-1.085904769E+002
12,-1.106508178E+002
13,-1.098152618E+002
14,-1.059823150E+002
15,-1.080732803E+002
16,-1.062959747E+002
17,-1.075868911E+002
18,-1.053753814E+002
19,-1.085461425E+002
20,-1.073283538E+002
21,-1.063918914E+002
22,-1.104335937E+002
23,-1.053869018E+002
24,-1.050981674E+002
25,-1.072679901E+002
26,-1.069151001E+002
27,-1.080656127E+002
28,-1.064281234E+002
29,-1.158433456E+002
30,-1.059135513E+002
31,-1.059559783E+002
32,-1.056776123E+002
33,-1.112403945E+002
34,-1.054791717E+002
35,-1.060537948E+002
36,-1.090811767E+002
37,-1.085639038E+002
38,-1.135251464E+002
39,-1.105812225E+002
40,-1.102185897E+002
41,-1.093183136E+002
42,-1.063824844E+002
43,-1.076209259E+002
44,-1.066166992E+002
45,-1.046726226E+002
46,-1.045151748E+002
47,-1.051246566E+002
48,-1.056831054E+002
49,-1.084448700E+002
50,-1.070689468E+002
51,-1.103916397E+002
52,-1.060236053E+002
53,-1.077690658E+002
54,-1.077453384E+002
55,-1.078326644E+002
56,-1.053300628E+002
57,-1.058190155E+002
58,-1.094254760E+002
59,-1.086307373E+002
60,-1.070394897E+002
61,-1.085322494E+002
62,-1.042262344E+002
63,-1.050490722E+002
64,-1.080874481E+002
65,-1.104542083E+002
66,-1.063547592E+002
67,-1.064909896E+002
68,-1.049668121E+002
69,-1.095998764E+002
70,-1.073138656E+002
71,-1.033756256E+002
72,-1.044549560E+002
73,-1.096182403E+002
74,-1.063912124E+002
75,-1.085978164E+002
76,-1.084017944E+002
77,-1.069216461E+002
78,-1.091528320E+002
79,-1.074548492E+002
80,-1.047380828E+002
81,-1.083506622E+002
82,-1.079877471E+002
83,-1.073983001E+002
84,-1.054427719E+002
85,-1.055041732E+002
86,-1.081055297E+002
87,-1.068118515E+002
88,-1.084974823E+002
89,-1.100081176E+002
90,-1.067244491E+002
91,-1.042032318E+002
92,-1.078304901E+002
93,-1.080546112E+002
94,-1.052865448E+002
95,-1.059578247E+002
96,-1.092737274E+002
97,-1.065086441E+002
98,-1.083014144E+002
99,-1.071737060E+002
100,-1.079373168E+002
